appid,name,release_date,required_age,price,dlc_count,header_image,windows,mac,linux,metacritic_score,recommendations,supported_languages,full_audio_languages,publishers,positive,negative,average_playtime_forever,median_playtime_forever,discount,peak_ccu,pct_pos_total,num_reviews_total,tags_sep,publisher
2236680,Llamasoft: The Jeff Minter Story,2024-03-13,0.0,29.99,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2236680/header.jpg?t=1710342544,True,False,False,0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese']","['English', 'Japanese']",['Digital Eclipse'],66,5,0,0,0,0,92.0,67.0,"['Action', 'Arcade', 'Singleplayer', 'Controller', 'Platformer', 'Shooter', 'Psychedelic', 'Precision Platformer', ""Shoot 'Em Up"", 'Pixel Graphics', '2D', 'Surreal', 'Abstract', 'Colorful', 'Retro', '1980s', ""1990's"", 'Old School', 'Stylized', 'Agriculture']",Digital Eclipse
2406370,Darkblade Ascent,2025-02-12,0.0,18.99,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2406370/header.jpg?t=1741444660,True,False,False,0,0,['English'],['English'],['PST Games'],62,7,0,0,0,34,88.0,67.0,"['Early Access', 'RPG', 'Action Roguelike', 'First-Person', 'Hack and Slash', 'Rogue-like', 'Action', 'Dark Fantasy', 'Rogue-lite', 'Singleplayer', '3D', 'Dungeon Crawler', 'Combat', 'Swordplay', 'Fantasy', 'Loot', 'Indie', 'Procedural Generation', 'Action RPG', 'Medieval']",PST Games
1982940,HeistGeist,2024-11-11,0.0,19.9,1,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1982940/2c1823160d71403cf33b4e11bf3b7351cc058c06/header.jpg?t=1740668465,True,True,True,0,0,"['English', 'Czech']","['English', 'Czech']",['Doublequote Studio'],90,2,0,0,0,3,96.0,66.0,"['RPG', 'Story Rich', 'Card Battler', 'Card Game', 'Turn-Based', 'Cyberpunk', 'Deckbuilding', 'Turn-Based Combat', 'Heist', 'Dungeon Crawler', 'Strategy', 'Sci-fi', 'Female Protagonist', '2D', 'Atmospheric', 'Hacking', 'Adventure', 'Singleplayer', 'Strategy RPG', 'Noir']",Doublequote Studio
2891600,DGGWare,2024-09-19,0.0,8.99,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2891600/header.jpg?t=1732735819,True,False,False,0,0,['English'],['English'],['destiny.gg LLC'],68,2,0,0,0,0,96.0,66.0,"['Clicker', 'Minigames', 'Puzzle', 'Rhythm', 'Trivia', 'Platformer', '2D', 'Point & Click', 'Cute', 'Casual', 'Dark Humor', 'Action', 'Funny', 'Cartoony', 'Colorful', 'Pixel Graphics', 'Stylized', 'Score Attack', 'Politics', 'Comedy']",destiny.gg LLC
2228210,Project Astra Dominium,2024-01-14,0.0,7.99,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2228210/header.jpg?t=1729460349,True,True,True,0,0,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Portuguese - Portugal', 'Simplified Chinese']","['English', 'Simplified Chinese']",['Snob Entertainment UG'],77,8,0,0,20,0,89.0,66.0,"['Tower Defense', 'Indie', 'Automation', 'Crafting', 'Economy', 'Base-Building', 'Space', 'PvE', 'Aliens', 'Singleplayer', 'Strategy', 'Gun Customization', 'Resource Management', 'Simulation', 'Logic', 'Sci-fi', 'Futuristic', 'Combat', 'Programming', '3D']",Snob Entertainment UG
2204900,STREET UNI X,2024-06-26,0.0,19.99,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2204900/header.jpg?t=1732155935,True,False,False,0,0,['English'],['English'],['Gamma Space Collaborative Studio'],72,3,0,0,0,0,95.0,66.0,"['Skateboarding', 'BMX', 'Arcade', 'Parkour', 'Platformer', 'Retro', 'Old School', ""1990's"", 'Controller', 'Action', 'Sports', 'Cycling', '3D', 'Third Person', 'Score Attack', 'Physics', 'Stylized', 'Singleplayer', 'LGBTQ+', 'Indie']",Gamma Space Collaborative Studio
3036880,Panic In The Woods,2024-09-13,0.0,5.99,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3036880/header.jpg?t=1730128630,True,False,False,0,0,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Turkish']","['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Turkish']",['Exit Plan Games'],74,19,0,0,0,2,78.0,66.0,"['Action', 'Horror', 'Co-op', 'Exploration', 'Casual', 'Third Person', 'Atmospheric', 'Survival', 'Controller', 'Multiplayer', 'Online Co-Op', 'Singleplayer', 'Action-Adventure', 'Survival Horror']",Exit Plan Games
2002600,吞食一统中原Tunshi  unifying plains,2024-08-03,0.0,12.99,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2002600/header.jpg?t=1722739045,True,False,False,0,0,['Simplified Chinese'],['Simplified Chinese'],['tngames'],62,3,0,0,0,0,95.0,65.0,"['RPG', '2D Platformer', 'JRPG', 'Alternate History', 'Turn-Based Combat', 'Pixel Graphics', '1980s', 'Retro', 'Indie', 'Singleplayer']",tngames
2360340,Whitewater VR: Extreme Kayaking Adventure,2024-04-30,0.0,14.99,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2360340/header.jpg?t=1714507149,True,False,False,0,0,['English'],['English'],['Adam Horvath'],61,7,0,0,25,0,89.0,65.0,"['VR', 'Simulation', 'Realistic', 'Immersive Sim', 'Action-Adventure', 'Nature', 'Exploration', 'Time Attack', 'Racing', 'Relaxing', 'Arcade', 'Casual', 'Physics', 'Indie', 'Sports', 'Action', '3D Vision', 'Adventure', 'Singleplayer', 'First-Person']",Adam Horvath
2622280,Shell Runner,2024-07-15,0.0,14.99,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2622280/header.jpg?t=1737042446,True,False,False,0,0,['English'],['English'],['Reija'],43,31,0,0,0,0,61.0,65.0,"['Early Access', 'Action', 'Extraction Shooter', 'Survival', 'Looter Shooter', 'Shooter', 'Top-Down Shooter', 'Action Roguelike', 'Dystopian ', 'Inventory Management', 'Cyberpunk', 'Loot', 'Singleplayer', 'Co-op', 'Rogue-lite', '3D', 'Colorful', 'Stylized', 'Top-Down', 'PvE']",Reija
